2025-01-15 17:46:36 | INFO | __main__ | Ingesting 706 price rows for symbol=ABB (stock_id=68) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/abb_historical_prices.json.
2025-01-15 17:46:42 | INFO | __main__ | Done ingesting price data for ABB from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/abb_historical_prices.json.
2025-01-15 17:46:42 | INFO | __main__ | Ingesting 706 price rows for symbol=JINDALSTEL (stock_id=70) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/jindalstel_historical_prices.json.
2025-01-15 17:46:48 | INFO | __main__ | Done ingesting price data for JINDALSTEL from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/jindalstel_historical_prices.json.
2025-01-15 17:46:48 | INFO | __main__ | Ingesting 706 price rows for symbol=CIPLA (stock_id=69) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/cipla_historical_prices.json.
2025-01-15 17:46:54 | INFO | __main__ | Done ingesting price data for CIPLA from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/cipla_historical_prices.json.
2025-01-15 17:46:54 | INFO | __main__ | Ingesting 706 price rows for symbol=TCS (stock_id=67) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/tcs_historical_prices.json.
2025-01-15 17:47:00 | INFO | __main__ | Done ingesting price data for TCS from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/tcs_historical_prices.json.
2025-01-15 17:47:00 | INFO | __main__ | Ingesting 706 price rows for symbol=HAVELLS (stock_id=73) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/havells_historical_prices.json.
2025-01-15 17:47:06 | INFO | __main__ | Done ingesting price data for HAVELLS from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/havells_historical_prices.json.
2025-01-15 17:47:06 | INFO | __main__ | Ingesting 706 price rows for symbol=NAUKRI (stock_id=74) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/naukri_historical_prices.json.
2025-01-15 17:47:12 | INFO | __main__ | Done ingesting price data for NAUKRI from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/naukri_historical_prices.json.
2025-01-15 17:47:12 | INFO | __main__ | Ingesting 706 price rows for symbol=CHOLAFIN (stock_id=75) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/cholafin_historical_prices.json.
2025-01-15 17:47:18 | INFO | __main__ | Done ingesting price data for CHOLAFIN from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/cholafin_historical_prices.json.
2025-01-15 17:47:18 | INFO | __main__ | Ingesting 706 price rows for symbol=BOSCHLTD (stock_id=72) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/boschltd_historical_prices.json.
2025-01-15 17:47:24 | INFO | __main__ | Done ingesting price data for BOSCHLTD from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/boschltd_historical_prices.json.
