2025-01-15 16:20:38 | INFO | __main__ | Fetching historical prices for HAVELLS from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:38 | INFO | __main__ | Fetching prices for HAVELLS from 15-01-2025 to 15-01-2025
2025-01-15 16:20:40 | INFO | __main__ | Updated stock prices saved to data/stock_prices/havells_historical_prices.json
2025-01-15 16:20:40 | INFO | __main__ | Fetching historical prices for ULTRACEMCO from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:40 | INFO | __main__ | Fetching prices for ULTRACEMCO from 15-01-2025 to 15-01-2025
2025-01-15 16:20:42 | INFO | __main__ | Updated stock prices saved to data/stock_prices/ultracemco_historical_prices.json
2025-01-15 16:20:42 | INFO | __main__ | Fetching historical prices for BHARTIARTL from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:42 | INFO | __main__ | Fetching prices for BHARTIARTL from 15-01-2025 to 15-01-2025
2025-01-15 16:20:44 | INFO | __main__ | Updated stock prices saved to data/stock_prices/bhartiartl_historical_prices.json
2025-01-15 16:20:44 | INFO | __main__ | Fetching historical prices for IOC from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:44 | INFO | __main__ | Fetching prices for IOC from 15-01-2025 to 15-01-2025
2025-01-15 16:20:46 | INFO | __main__ | Updated stock prices saved to data/stock_prices/ioc_historical_prices.json
2025-01-15 16:20:46 | INFO | __main__ | Fetching historical prices for TCS from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:46 | INFO | __main__ | Fetching prices for TCS from 15-01-2025 to 15-01-2025
2025-01-15 16:20:48 | INFO | __main__ | Updated stock prices saved to data/stock_prices/tcs_historical_prices.json
2025-01-15 16:20:48 | INFO | __main__ | Fetching historical prices for DABUR from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:48 | INFO | __main__ | Fetching prices for DABUR from 15-01-2025 to 15-01-2025
2025-01-15 16:20:50 | INFO | __main__ | Updated stock prices saved to data/stock_prices/dabur_historical_prices.json
2025-01-15 16:20:50 | INFO | __main__ | Fetching historical prices for RECLTD from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:50 | INFO | __main__ | Fetching prices for RECLTD from 15-01-2025 to 15-01-2025
2025-01-15 16:20:51 | INFO | __main__ | Updated stock prices saved to data/stock_prices/recltd_historical_prices.json
2025-01-15 16:20:52 | INFO | __main__ | Fetching historical prices for IRCTC from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:52 | INFO | __main__ | Fetching prices for IRCTC from 15-01-2025 to 15-01-2025
2025-01-15 16:20:54 | INFO | __main__ | Updated stock prices saved to data/stock_prices/irctc_historical_prices.json
2025-01-15 16:20:54 | INFO | __main__ | Fetching historical prices for JIOFIN from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:54 | INFO | __main__ | Fetching prices for JIOFIN from 15-01-2025 to 15-01-2025
2025-01-15 16:20:56 | INFO | __main__ | Updated stock prices saved to data/stock_prices/jiofin_historical_prices.json
2025-01-15 16:20:56 | INFO | __main__ | Fetching historical prices for HINDUNILVR from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:56 | INFO | __main__ | Fetching prices for HINDUNILVR from 15-01-2025 to 15-01-2025
2025-01-15 16:20:59 | INFO | __main__ | Updated stock prices saved to data/stock_prices/hindunilvr_historical_prices.json
2025-01-15 16:20:59 | INFO | __main__ | Fetching historical prices for UNITDSPR from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:59 | INFO | __main__ | Fetching prices for UNITDSPR from 15-01-2025 to 15-01-2025
2025-01-15 16:21:01 | INFO | __main__ | Updated stock prices saved to data/stock_prices/unitdspr_historical_prices.json
2025-01-15 16:21:01 | INFO | __main__ | Fetching historical prices for HEROMOTOCO from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:01 | INFO | __main__ | Fetching prices for HEROMOTOCO from 15-01-2025 to 15-01-2025
2025-01-15 16:21:04 | INFO | __main__ | Updated stock prices saved to data/stock_prices/heromotoco_historical_prices.json
2025-01-15 16:21:04 | INFO | __main__ | Fetching historical prices for GRASIM from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:04 | INFO | __main__ | Fetching prices for GRASIM from 15-01-2025 to 15-01-2025
2025-01-15 16:21:07 | INFO | __main__ | Updated stock prices saved to data/stock_prices/grasim_historical_prices.json
2025-01-15 16:21:07 | INFO | __main__ | Fetching historical prices for APOLLOHOSP from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:07 | INFO | __main__ | Fetching prices for APOLLOHOSP from 15-01-2025 to 15-01-2025
2025-01-15 16:21:09 | INFO | __main__ | Updated stock prices saved to data/stock_prices/apollohosp_historical_prices.json
2025-01-15 16:21:09 | INFO | __main__ | Fetching historical prices for BRITANNIA from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:09 | INFO | __main__ | Fetching prices for BRITANNIA from 15-01-2025 to 15-01-2025
2025-01-15 16:21:11 | INFO | __main__ | Updated stock prices saved to data/stock_prices/britannia_historical_prices.json
